ID,Time,Bus_boarding,Bus_alighting,Sub_boarding,Sub_alighting,Bike_on_count,Bike_off_count,Latitude,Longitude,Temperature(¡ÆC),Precipitation(mm),Humidity(%),TinyDust,Pop_perc,Slope,Resident,Commercial,Industry,Green,NUM_BUS,NUM_SUB,Fp_perc,Bike_Demand
4825,13.77848101,192.8987342,130.4113924,0,0,2.417721519,2.689873418,37.6030426,127.100502,15.04493671,0,52.79113924,14.24050633,20308.16593,9.255480104,0.90557536,0,0,0.092541247,155,0,21016.93617,5.107594937
4826,14.33928571,123.9761905,99,0,0,2.553571429,2.839285714,37.57984543,127.0824204,15.30714286,0,53.81547619,15.23809524,24989.19695,1.663262683,0.701409114,0.049495044,0,0.249255057,35,0,19305.52965,5.392857143
4827,13.87719298,57.80701754,29.47368421,0,0,2.561403509,1.736842105,37.6127243,127.11306,15.27368421,0,49.21052632,12.56140351,3753.608489,19.87795385,0.135753137,0,0,0.677213666,10,0,5035.425814,4.298245614
4828,14.26506024,230.313253,158.2650602,0,0,2.63253012,3.102409639,37.60428619,127.0973663,15.55783133,0,53.24698795,15.5,24028.67928,6.578729133,0.945287117,0.007143948,0,0.045865468,144,0,24846.56521,5.734939759
4829,14.8019802,259.4257426,163.9009901,0,0,1.782178218,1.772277228,37.60446167,127.0974121,15.64455446,0,53.96039604,15.48514851,24114.441,9.221058931,0.93678402,0.007143948,0,0.05316863,130,0,24823.31233,3.554455446
483,13.60869565,39.17391304,20.26086957,90,63.73913043,1.260869565,1.173913043,37.54758453,127.0064392,14.69130435,0,59.7826087,13.7826087,12572.3287,13.64580316,0.998792299,0,0,0,20,1,12031.41212,2.434782609
4830,16.05882353,150.4705882,50.11764706,0,0,1.411764706,1.352941176,37.61727142,127.1085434,14.36470588,0,50.41176471,13.70588235,7073.444345,17.0924599,0.26920737,0,0,0.450543789,33,0,5855.649747,2.764705882
4834,13.24242424,323.3333333,205.6060606,0,0,1.212121212,1.242424242,37.58686447,127.0953217,15.0030303,0,49.09090909,12.42424242,19604.80658,5.9509811,0.821693837,0,0,0.160586738,101,0,14623.65612,2.454545455
4835,14.13580247,94.5,93.81481481,0,0,2.382716049,2.543209877,37.60064316,127.1040497,15.39567901,0,54.12345679,15.64814815,13458.21124,7.399273158,0.844422698,0,0,0.15555918,103,0,15094.82187,4.925925926
4836,15.14414414,47.01801802,38.03603604,134.6486486,129.7657658,2.144144144,2.171171171,37.60655212,127.1070862,15.65045045,0,52.14414414,13.47747748,4953.949939,21.99440172,0.298096414,0,0,0.386988669,60,1,6220.842436,4.315315315
4837,14.17293233,46.40601504,34.02255639,194.0601504,203.9022556,2.436090226,2.45112782,37.60924149,127.1062088,14.95037594,0,53.93233083,14.96992481,7070.902552,8.002031647,0.093207877,0,0,0.475368329,80,3,6651.157785,4.887218045
4838,14.54135338,227.1804511,148.2857143,0,0,2.112781955,1.646616541,37.58973694,127.0941925,15.44736842,0,53.15037594,14.66165414,23036.90828,5.016161752,0.974192989,0,0,0.015486537,93,0,20115.24567,3.759398496
484,16.4,305.1,581,2942.1,6080.3,1.3,1.8,37.55614853,126.9774246,13.94,0,59.4,13.9,6803.520716,8.089767169,0.546242146,0.450323736,0,0,103,5,30135.80359,3.1
4840,13.95945946,72.52702703,105.9324324,131.3243243,146.7162162,2.067567568,1.905405405,37.60405731,127.107254,14.97702703,0,53.74324324,15.47297297,5924.883543,20.93031789,0.560596058,0,0,0.332592921,86,1,7745.424022,3.972972973
485,13.94736842,370.2748538,417.1169591,4147.748538,4098.187135,3.660818713,3.643274854,37.55677032,126.9731979,13.50350877,0,57.00584795,13.33918129,7355.931191,6.506878438,0.345103567,0.577622964,0,0.010000751,151,5,32841.25221,7.304093567
4852,12.85882353,62.38823529,65.33529412,509.7,503.3647059,3.370588235,3.705882353,37.47600174,127.1231003,14.94470588,0,62.79391101,13.92941176,6299.779709,1.936493608,0.048951384,0.278157045,0,0.357229769,30,1,11602.95605,7.076470588
4854,13.58293839,150.7962085,104.9952607,501.7772512,471.3033175,3.71563981,3.616113744,37.492733,127.1179886,15.48862559,0,59.76930915,13.90995261,16433.79205,2.837077136,0.639249387,0.33106679,0,0.029665701,48,2,24755.63041,7.331753555
4855,14.75694444,67.54861111,50.55555556,329.8402778,291.9166667,2.305555556,2.291666667,37.48933029,127.1460495,15.125,0,63.06651442,14.54861111,14091.84274,2.853775605,0.714191591,0.013104789,0,0.001070492,19,1,13538.83009,4.597222222
4856,14.73417722,42.84177215,36.24050633,246,241.4050633,3.35443038,3.088607595,37.5202179,127.1145706,15.85696203,0,58.23416423,14.3164557,12351.02945,4.856473518,0.439405236,0.04448043,0,0.516017252,46,1,16288.14159,6.443037975
