Cohort,RF_RMSE,RF_MAE,RF_R2,XGB_RMSE,XGB_MAE,XGB_R2
Overall,1.4958606149400284,0.4131317596547032,0.9208995448644094,0.8393480012749925,0.14497396261571477,0.9750953267412229
Cohort A,0.32274734598411675,0.22165652279027948,0.9894010415651731,0.11040167157145826,0.06076717129274215,0.9987598074226768
Cohort B,0.27974896262862725,0.19511994759146872,0.9904624792170755,0.08245727240385203,0.05068023422018353,0.9991713780045927
Cohort C,0.4143095759743333,0.28944918268869857,0.9773462620608834,0.09042301201705145,0.0631125223347531,0.9989209343483942
Cohort D,4.9375353749701505,2.2496910092497946,0.657683065581119,2.8244888599331595,1.0516465740419603,0.8879820356251613
