,ID,Time,Bus_boarding,Bus_alighting,Sub_boarding,Sub_alighting,Bike_on_count,Bike_off_count,Latitude,Longitude,Temperature_C,Precipitation(mm),Humidity(%),TinyDust,Pop_perc,Slope,Resident,Commercial,Industry,Green,NUM_BUS,NUM_SUB,Fp_perc,Bike_Demand
Cohort A,2628.7945,14.3001,107.9217,92.7402,391.7712,391.1964,3.0783,3.0074,37.5125,127.0817,15.3888,0.0,57.7317,13.6487,14022.0954,6.7186,0.7047,0.0569,0.0218,0.1589,55.9082,0.6959,19954.8816,6.0857
Cohort B,2044.7048,14.0551,177.7675,147.1349,510.1173,496.4034,3.0876,3.0228,37.6079,127.0235,14.0972,0.0,60.9927,13.6808,15967.716,7.7784,0.7094,0.1334,0.0111,0.1172,91.6369,0.9862,20792.5719,6.1104
Cohort C,2248.8673,14.1747,146.3459,121.6924,401.0524,394.533,3.2536,3.1812,37.5234,126.9013,14.9524,0.0,59.362,14.3082,15641.6105,8.005,0.6234,0.0817,0.1125,0.1373,95.4943,0.8043,18867.0572,6.4348
Cohort D,1707.355,13.376,117.1634,105.9563,552.4829,533.7698,9.2745,9.4836,37.5418,126.9311,14.6758,0.0,60.024,14.3672,16153.8402,4.9614,0.5515,0.1388,0.1616,0.1181,78.9827,1.0087,22123.8074,18.758
